PROVÍNCIA;MUNICIPI;SIGLES;PARTIT;VOTS;PERCENT
Barcelona;Mataró;PSC;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE);17082;25,39
Barcelona;Mataró;ERC-Cat Sí;ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ;14870;22,09
Barcelona;Mataró;ECP;EN COMÚ PODEM;10008;14,86
Barcelona;Mataró;JxCAT;JUNTS PER CATALUNYA;6438;9,56
Barcelona;Mataró;VOX;VOX;2981;4,43
Barcelona;Mataró;P.P.;PARTIT POPULAR;3377;5,02
Barcelona;Mataró;C's;CIUTADANS-PARTIDO DE LA CIUDADANÍA;9054;13,45
Barcelona;Mataró;PACMA;PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL;1161;1,72
Barcelona;Mataró;PCERO;RECORTES CERO;92;0,14
Barcelona;Mataró;PCTC;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA;36;0,05
Barcelona;Mataró;PCPC;PARTIT COMUNISTA DEL POBLE DE CATALUNYA;39;0,06
Barcelona;Mataró;IZQP;IZQUIERDA EN POSITIVO;50;0,07
Barcelona;Mataró;FR;FRONT REPUBLICÀ;1753;2,6
Barcelona;Mataró;CNV;CONVERGENTS;25;0,04
